Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core 0, energy used: 1.46133W, Package: 168.485W
Core 1, energy used: 1.46133W, Package: 168.485W
Core 2, energy used: 0.921478W, Package: 168.485W
Core 3, energy used: 0.921478W, Package: 168.485W
Core 4, energy used: 1.99631W, Package: 168.485W
Core 5, energy used: 1.99631W, Package: 168.485W
Core 6, energy used: 0.807037W, Package: 168.485W
Core 7, energy used: 0.807037W, Package: 168.485W
Core 8, energy used: 4.38766W, Package: 168.485W
Core 9, energy used: 4.38766W, Package: 168.485W
Core 10, energy used: 0.938263W, Package: 168.485W
Core 11, energy used: 0.938263W, Package: 168.485W
Core 12, energy used: 0.975037W, Package: 168.485W
Core 13, energy used: 0.975037W, Package: 168.485W
Core 14, energy used: 0.858307W, Package: 168.485W
Core 15, energy used: 0.858307W, Package: 168.485W
Core sum: 24.6909W, Time: 1.001525
Core 0, energy used: 0.0274658W, Package: 122.745W
Core 1, energy used: 0.0274658W, Package: 122.745W
Core 2, energy used: 0.121765W, Package: 122.745W
Core 3, energy used: 0.121765W, Package: 122.745W
Core 4, energy used: 0.0340271W, Package: 122.745W
Core 5, energy used: 0.0340271W, Package: 122.745W
Core 6, energy used: 0.0314331W, Package: 122.745W
Core 7, energy used: 0.0314331W, Package: 122.745W
Core 8, energy used: 0.0270081W, Package: 122.745W
Core 9, energy used: 0.0270081W, Package: 122.745W
Core 10, energy used: 0.0241089W, Package: 122.745W
Core 11, energy used: 0.0241089W, Package: 122.745W
Core 12, energy used: 0.027771W, Package: 122.745W
Core 13, energy used: 0.027771W, Package: 122.745W
Core 14, energy used: 0.0253296W, Package: 122.745W
Core 15, energy used: 0.0253296W, Package: 122.745W
Core sum: 0.637817W, Time: 2.002472
Core 0, energy used: 0.00198364W, Package: 119.153W
Core 1, energy used: 0.00198364W, Package: 119.153W
Core 2, energy used: 0.0126648W, Package: 119.153W
Core 3, energy used: 0.0126648W, Package: 119.153W
Core 4, energy used: 0.0100708W, Package: 119.153W
Core 5, energy used: 0.0100708W, Package: 119.153W
Core 6, energy used: 0.00473022W, Package: 119.153W
Core 7, energy used: 0.00473022W, Package: 119.153W
Core 8, energy used: 0.00579834W, Package: 119.153W
Core 9, energy used: 0.00579834W, Package: 119.153W
Core 10, energy used: 0.00198364W, Package: 119.392W
Core 11, energy used: 0.00198364W, Package: 119.392W
Core 12, energy used: 0.00213623W, Package: 119.392W
Core 13, energy used: 0.00213623W, Package: 119.392W
Core 14, energy used: 0.00198364W, Package: 119.392W
Core 15, energy used: 0.00198364W, Package: 119.392W
Core sum: 0.0827026W, Time: 3.003675
Core 0, energy used: 0.00518799W, Package: 126.434W
Core 1, energy used: 0.00518799W, Package: 126.434W
Core 2, energy used: 0.0128174W, Package: 126.434W
Core 3, energy used: 0.0128174W, Package: 126.434W
Core 4, energy used: 0.0088501W, Package: 126.434W
Core 5, energy used: 0.0088501W, Package: 126.434W
Core 6, energy used: 0.00320435W, Package: 126.434W
Core 7, energy used: 0.00320435W, Package: 126.434W
Core 8, energy used: 0.00747681W, Package: 126.688W
Core 9, energy used: 0.00747681W, Package: 126.688W
Core 10, energy used: 0.00305176W, Package: 126.688W
Core 11, energy used: 0.00305176W, Package: 126.688W
Core 12, energy used: 0.0154114W, Package: 126.688W
Core 13, energy used: 0.0154114W, Package: 126.688W
Core 14, energy used: 0.0128174W, Package: 126.688W
Core 15, energy used: 0.0128174W, Package: 126.688W
Core sum: 0.137634W, Time: 4.004601
Core 0, energy used: 0.00152588W, Package: 119.106W
Core 1, energy used: 0.00152588W, Package: 119.106W
Core 2, energy used: 0.0140381W, Package: 119.345W
Core 3, energy used: 0.0140381W, Package: 119.345W
Core 4, energy used: 0.0123596W, Package: 119.345W
Core 5, energy used: 0.0123596W, Package: 119.345W
Core 6, energy used: 0.00137329W, Package: 119.345W
Core 7, energy used: 0.00137329W, Package: 119.345W
Core 8, energy used: 0.0038147W, Package: 119.345W
Core 9, energy used: 0.0038147W, Package: 119.345W
Core 10, energy used: 0.0012207W, Package: 119.345W
Core 11, energy used: 0.0012207W, Package: 119.345W
Core 12, energy used: 0.00305176W, Package: 119.345W
Core 13, energy used: 0.00305176W, Package: 119.345W
Core 14, energy used: 0.00137329W, Package: 119.345W
Core 15, energy used: 0.00137329W, Package: 119.345W
Core sum: 0.0775146W, Time: 5.005621
Core 0, energy used: 0.00350952W, Package: 119.359W
Core 1, energy used: 0.00350952W, Package: 119.359W
Core 2, energy used: 0.0088501W, Package: 119.359W
Core 3, energy used: 0.0088501W, Package: 119.359W
Core 4, energy used: 0.00579834W, Package: 119.359W
Core 5, energy used: 0.00579834W, Package: 119.359W
Core 6, energy used: 0.00152588W, Package: 119.359W
Core 7, energy used: 0.00152588W, Package: 119.359W
Core 8, energy used: 0.0038147W, Package: 119.359W
Core 9, energy used: 0.0038147W, Package: 119.359W
Core 10, energy used: 0.00350952W, Package: 119.359W
Core 11, energy used: 0.00350952W, Package: 119.359W
Core 12, energy used: 0.00259399W, Package: 119.359W
Core 13, energy used: 0.00259399W, Package: 119.359W
Core 14, energy used: 0.00457764W, Package: 119.359W
Core 15, energy used: 0.00457764W, Package: 119.359W
Core sum: 0.0683594W, Time: 6.006708
Core 0, energy used: 0.00152588W, Package: 127.109W
Core 1, energy used: 0.00152588W, Package: 127.109W
Core 2, energy used: 0.265961W, Package: 127.109W
Core 3, energy used: 0.265961W, Package: 127.109W
Core 4, energy used: 0.207825W, Package: 127.109W
Core 5, energy used: 0.207825W, Package: 127.109W
Core 6, energy used: 1.09833W, Package: 127.109W
Core 7, energy used: 1.09833W, Package: 127.109W
Core 8, energy used: 0.00366211W, Package: 127.109W
Core 9, energy used: 0.00366211W, Package: 127.109W
Core 10, energy used: 0.00137329W, Package: 127.109W
Core 11, energy used: 0.00137329W, Package: 127.109W
Core 12, energy used: 0.00152588W, Package: 127.109W
Core 13, energy used: 0.00152588W, Package: 127.109W
Core 14, energy used: 0.00152588W, Package: 127.109W
Core 15, energy used: 0.00152588W, Package: 127.109W
Core sum: 3.16345W, Time: 7.007658
Core 0, energy used: 0.00289917W, Package: 126.839W
Core 1, energy used: 0.00289917W, Package: 126.839W
