GPU Power (W), Time (S), 
2, 1.002175, 
2, 2.003386, 
2, 3.004697, 
2, 4.006151, 
2, 5.007350, 
2, 6.008673, 
2, 7.009882, 
2, 8.011082, 
2, 9.012290, 
2, 10.013500, 
2, 11.014660, 
2, 12.015864, 
2, 13.017215, 
2, 14.018421, 
2, 15.019635, 
2, 16.020836, 
1, 17.022053, 
2, 18.023392, 
2, 19.024623, 
2, 20.026238, 
2, 21.065977, 
2, 22.067186, 
2, 23.068462, 
2, 24.069679, 
2, 25.071001, 
2, 26.072307, 
2, 27.073525, 
2, 28.074741, 
2, 29.075977, 
2, 30.077183, 
2, 31.078400, 
2, 32.079708, 
2, 33.080950, 
2, 34.082161, 
