GPU Power (W), Time (S), 
146, 0.001476, 
146, 0.003011, 
146, 0.004606, 
146, 0.006247, 
146, 0.007724, 
146, 0.009326, 
146, 0.010937, 
142, 0.022720, 
142, 0.024240, 
142, 0.025729, 
142, 0.027206, 
142, 0.028714, 
142, 0.030206, 
133, 0.039491, 
133, 0.040970, 
133, 0.042466, 
133, 0.043920, 
133, 0.045380, 
133, 0.046849, 
133, 0.048337, 
133, 0.049804, 
133, 0.051323, 
169, 0.066050, 
169, 0.067865, 
169, 0.069470, 
169, 0.071114, 
146, 0.087156, 
146, 0.090096, 
146, 0.091667, 
139, 0.105823, 
139, 0.107346, 
139, 0.108801, 
139, 0.110233, 
139, 0.111661, 
150, 0.125336, 
150, 0.126934, 
150, 0.128483, 
150, 0.130035, 
150, 0.131571, 
151, 0.144535, 
151, 0.146104, 
151, 0.147651, 
158, 0.164941, 
158, 0.166502, 
158, 0.168062, 
158, 0.169618, 
158, 0.171212, 
155, 0.186728, 
155, 0.188295, 
155, 0.189846, 
155, 0.191411, 
160, 0.208304, 
160, 0.209903, 
160, 0.211463, 
160, 0.213045, 
163, 0.228646, 
163, 0.230230, 
111, 0.245257, 
111, 0.246827, 
111, 0.248394, 
111, 0.249964, 
111, 0.251500, 
111, 0.252992, 
126, 0.262357, 
126, 0.263912, 
126, 0.265447, 
126, 0.266986, 
126, 0.268529, 
126, 0.270064, 
126, 0.271604, 
126, 0.273179, 
153, 0.285181, 
153, 0.287100, 
153, 0.288650, 
153, 0.290200, 
153, 0.291747, 
153, 0.293305, 
152, 0.305845, 
152, 0.307567, 
152, 0.309111, 
152, 0.310650, 
152, 0.312688, 
155, 0.326233, 
155, 0.327787, 
155, 0.329315, 
155, 0.330836, 
155, 0.332358, 
162, 0.347560, 
162, 0.349114, 
162, 0.350641, 
162, 0.352192, 
162, 0.353755, 
157, 0.367093, 
157, 0.368639, 
157, 0.370201, 
157, 0.371730, 
157, 0.373270, 
156, 0.388702, 
156, 0.390286, 
156, 0.391820, 
156, 0.393354, 
166, 0.409498, 
166, 0.410984, 
166, 0.412445, 
166, 0.413902, 
158, 0.429681, 
158, 0.431161, 
158, 0.432633, 
158, 0.434182, 
148, 0.448468, 
148, 0.449962, 
148, 0.451435, 
148, 0.452908, 
148, 0.454433, 
154, 0.467974, 
154, 0.469446, 
154, 0.470947, 
154, 0.472411, 
154, 0.473870, 
160, 0.487990, 
160, 0.489487, 
160, 0.490970, 
160, 0.492433, 
160, 0.493903, 
161, 0.509363, 
161, 0.510906, 
161, 0.512383, 
161, 0.513864, 
156, 0.527274, 
156, 0.528759, 
156, 0.530237, 
156, 0.531709, 
156, 0.533183, 
156, 0.534649, 
162, 0.549077, 
162, 0.550651, 
162, 0.552137, 
162, 0.553612, 
166, 0.569822, 
166, 0.571424, 
166, 0.572967, 
166, 0.574496, 
141, 0.589647, 
141, 0.591226, 
141, 0.592784, 
141, 0.594325, 
143, 0.606677, 
143, 0.608717, 
143, 0.610294, 
143, 0.611834, 
143, 0.613374, 
143, 0.614915, 
150, 0.623308, 
150, 0.624864, 
150, 0.626403, 
150, 0.627929, 
150, 0.629465, 
150, 0.631013, 
150, 0.632553, 
150, 0.634209, 
171, 0.649262, 
171, 0.650876, 
171, 0.652418, 
171, 0.653953, 
151, 0.668419, 
151, 0.669997, 
151, 0.671545, 
151, 0.673079, 
151, 0.674621, 
125, 0.686002, 
125, 0.687550, 
125, 0.689090, 
125, 0.690622, 
125, 0.692154, 
125, 0.693692, 
125, 0.695253, 
169, 0.709155, 
169, 0.710739, 
169, 0.712284, 
169, 0.713819, 
169, 0.715359, 
136, 0.727957, 
136, 0.729501, 
136, 0.731041, 
136, 0.732573, 
136, 0.734167, 
140, 0.744091, 
140, 0.745642, 
140, 0.747173, 
