GPU Power (W), Time (S), 
168, 0.012397, 
168, 0.015015, 
168, 0.016613, 
168, 0.018206, 
168, 0.019804, 
153, 0.031042, 
153, 0.032505, 
153, 0.034040, 
153, 0.035488, 
153, 0.036943, 
153, 0.038398, 
153, 0.039845, 
128, 0.048639, 
128, 0.050125, 
128, 0.051577, 
128, 0.053055, 
128, 0.054559, 
128, 0.056059, 
128, 0.057568, 
128, 0.059089, 
128, 0.060573, 
153, 0.070433, 
153, 0.071890, 
153, 0.073332, 
153, 0.074834, 
153, 0.076292, 
153, 0.077741, 
153, 0.079227, 
153, 0.080719, 
161, 0.093991, 
161, 0.095520, 
161, 0.096985, 
161, 0.098433, 
161, 0.099882, 
136, 0.111547, 
136, 0.113036, 
136, 0.114525, 
136, 0.116026, 
136, 0.117665, 
136, 0.119230, 
136, 0.120763, 
131, 0.130164, 
131, 0.131712, 
131, 0.133250, 
131, 0.134802, 
131, 0.136340, 
131, 0.140008, 
154, 0.148830, 
154, 0.150274, 
154, 0.151718, 
154, 0.153156, 
154, 0.154586, 
154, 0.156037, 
154, 0.157481, 
154, 0.158949, 
154, 0.160460, 
159, 0.171084, 
159, 0.172603, 
159, 0.174122, 
159, 0.175572, 
159, 0.177018, 
159, 0.178471, 
159, 0.179976, 
159, 0.181437, 
144, 0.192241, 
144, 0.195654, 
144, 0.197261, 
144, 0.198873, 
144, 0.200462, 
160, 0.212602, 
160, 0.214085, 
160, 0.215555, 
160, 0.216985, 
160, 0.218400, 
160, 0.219832, 
160, 0.221286, 
138, 0.234745, 
138, 0.236501, 
138, 0.237964, 
138, 0.239390, 
138, 0.240859, 
110, 0.248902, 
110, 0.250366, 
110, 0.251819, 
110, 0.253244, 
110, 0.254746, 
110, 0.256224, 
110, 0.257698, 
110, 0.259199, 
110, 0.260643, 
104, 0.267746, 
104, 0.269196, 
104, 0.270634, 
104, 0.272105, 
104, 0.273565, 
104, 0.275043, 
104, 0.276504, 
104, 0.277953, 
104, 0.279418, 
104, 0.280870, 
115, 0.287806, 
115, 0.289260, 
115, 0.290775, 
115, 0.292256, 
115, 0.293714, 
115, 0.295166, 
115, 0.296589, 
115, 0.298060, 
115, 0.299507, 
115, 0.300962, 
132, 0.314772, 
132, 0.316387, 
132, 0.317852, 
132, 0.319287, 
132, 0.320797, 
132, 0.322296, 
175, 0.334414, 
175, 0.338460, 
175, 0.339897, 
175, 0.341318, 
165, 0.358748, 
165, 0.360428, 
165, 0.362001, 
168, 0.375079, 
168, 0.376625, 
168, 0.378217, 
168, 0.379769, 
168, 0.381336, 
168, 0.382914, 
133, 0.394776, 
133, 0.396348, 
133, 0.397910, 
133, 0.399456, 
133, 0.401011, 
133, 0.402570, 
134, 0.410548, 
134, 0.412139, 
134, 0.413712, 
134, 0.415287, 
134, 0.416833, 
134, 0.418384, 
134, 0.419928, 
134, 0.421489, 
134, 0.423082, 
159, 0.433428, 
159, 0.434992, 
159, 0.436546, 
159, 0.438106, 
159, 0.439673, 
159, 0.441228, 
159, 0.442784, 
149, 0.454410, 
149, 0.456027, 
149, 0.457582, 
149, 0.459386, 
149, 0.460941, 
149, 0.462486, 
149, 0.473120, 
149, 0.478209, 
149, 0.479808, 
149, 0.481374, 
149, 0.482964, 
141, 0.492249, 
141, 0.493804, 
141, 0.495347, 
141, 0.496925, 
141, 0.498478, 
141, 0.500042, 
141, 0.501598, 
141, 0.503148, 
141, 0.514175, 
141, 0.515687, 
141, 0.517179, 
141, 0.518677, 
141, 0.520170, 
141, 0.521656, 
141, 0.523143, 
164, 0.533606, 
164, 0.535116, 
164, 0.536599, 
164, 0.538077, 
164, 0.539562, 
164, 0.541055, 
164, 0.542553, 
146, 0.552250, 
146, 0.553753, 
146, 0.555288, 
146, 0.556781, 
146, 0.558266, 
146, 0.559752, 
146, 0.561312, 
146, 0.562875, 
163, 0.574826, 
163, 0.576379, 
163, 0.578656, 
163, 0.580251, 
163, 0.581803, 
163, 0.583353, 
125, 0.594859, 
125, 0.596444, 
125, 0.598015, 
125, 0.599580, 
125, 0.601143, 
125, 0.602716, 
105, 0.610063, 
105, 0.611649, 
105, 0.613176, 
105, 0.614695, 
105, 0.616209, 
105, 0.617701, 
105, 0.619215, 
105, 0.620703, 
105, 0.622179, 
105, 0.623855, 
106, 0.630690, 
106, 0.632273, 
106, 0.633820, 
106, 0.635364, 
106, 0.636924, 
106, 0.638481, 
106, 0.640027, 
106, 0.651924, 
158, 0.656645, 
158, 0.658227, 
158, 0.659780, 
158, 0.661327, 
158, 0.662880, 
158, 0.664431, 
158, 0.665976, 
194, 0.677654, 
194, 0.679258, 
194, 0.680813, 
194, 0.682373, 
194, 0.683920, 
194, 0.685405, 
194, 0.686885, 
198, 0.701621, 
198, 0.703284, 
198, 0.704852, 
198, 0.706414, 
166, 0.726711, 
153, 0.741218, 
153, 0.742734, 
153, 0.744221, 
153, 0.745707, 
153, 0.747216, 
121, 0.756725, 
121, 0.758286, 
121, 0.759836, 
121, 0.761379, 
121, 0.762938, 
121, 0.764487, 
121, 0.766036, 
121, 0.767601, 
144, 0.776713, 
144, 0.778274, 
144, 0.779825, 
144, 0.781384, 
144, 0.782944, 
144, 0.784497, 
144, 0.786042, 
144, 0.787512, 
151, 0.799055, 
151, 0.800783, 
151, 0.802331, 
151, 0.803879, 
151, 0.805435, 
151, 0.807002, 
132, 0.817786, 
132, 0.821124, 
132, 0.822644, 
132, 0.824135, 
132, 0.825614, 
132, 0.827097, 
143, 0.838318, 
143, 0.839850, 
143, 0.841337, 
143, 0.842831, 
143, 0.844332, 
143, 0.845893, 
143, 0.847441, 
134, 0.856587, 
134, 0.858083, 
134, 0.859587, 
134, 0.861076, 
134, 0.862559, 
134, 0.864035, 
134, 0.865512, 
134, 0.867075, 
137, 0.877387, 
137, 0.879825, 
137, 0.881375, 
137, 0.882912, 
137, 0.884462, 
137, 0.886014, 
137, 0.887554, 
146, 0.899216, 
146, 0.900703, 
146, 0.902174, 
146, 0.903642, 
146, 0.905115, 
146, 0.906581, 
146, 0.908057, 
148, 0.917704, 
148, 0.919251, 
148, 0.921204, 
148, 0.922732, 
